YEAR,MONTH,Datetime,Rainfall
1901,Jan,01-01-1901,8.283
1901,Feb,02-01-1901,3.36
1901,Mar,03-01-1901,1.562
1901,Apr,04-01-1901,0.072
1901,May,05-01-1901,5.268
1901,Jun,06-01-1901,19.634
1901,Jul,07-01-1901,183.812
1901,Aug,08-01-1901,126.277
1901,Sep,09-01-1901,3.932
1901,Oct,10-01-1901,3.943
1901,Nov,11-01-1901,0
1901,Dec,12-01-1901,9.235
1902,Jan,01-01-1902,0.387
1902,Feb,02-01-1902,0
1902,Mar,03-01-1902,0.335
1902,Apr,04-01-1902,0.781
1902,May,05-01-1902,1.5
1902,Jun,06-01-1902,81.419
1902,Jul,07-01-1902,154.98
1902,Aug,08-01-1902,107.496
1902,Sep,09-01-1902,63.973
1902,Oct,10-01-1902,0.799
1902,Nov,11-01-1902,0.94
1902,Dec,12-01-1902,0.165
1903,Jan,01-01-1903,0.861
1903,Feb,02-01-1903,0.509
1903,Mar,03-01-1903,0.389
1903,Apr,04-01-1903,0
1903,May,05-01-1903,12.095
1903,Jun,06-01-1903,2.077
1903,Jul,07-01-1903,271.198
1903,Aug,08-01-1903,179.982
1903,Sep,09-01-1903,115.55
1903,Oct,10-01-1903,4.958
1903,Nov,11-01-1903,0
1903,Dec,12-01-1903,0.004
1904,Jan,01-01-1904,1.285
1904,Feb,02-01-1904,2.291
1904,Mar,03-01-1904,21.094
1904,Apr,04-01-1904,0
1904,May,05-01-1904,13.461
1904,Jun,06-01-1904,60.482
1904,Jul,07-01-1904,185.587
1904,Aug,08-01-1904,128.585
1904,Sep,09-01-1904,69.164
1904,Oct,10-01-1904,8.099
1904,Nov,11-01-1904,10.663
1904,Dec,12-01-1904,14.801
1905,Jan,01-01-1905,8.087
1905,Feb,02-01-1905,11.627
1905,Mar,03-01-1905,2.13
1905,Apr,04-01-1905,7.592
1905,May,05-01-1905,1.23
1905,Jun,06-01-1905,23.675
1905,Jul,07-01-1905,94.804
1905,Aug,08-01-1905,5.472
1905,Sep,09-01-1905,52.133
1905,Oct,10-01-1905,0
1905,Nov,11-01-1905,0
1905,Dec,12-01-1905,0.444
1906,Jan,01-01-1906,0.04
1906,Feb,02-01-1906,58.635
1906,Mar,03-01-1906,4.81
1906,Apr,04-01-1906,0
1906,May,05-01-1906,1.453
1906,Jun,06-01-1906,77.553
1906,Jul,07-01-1906,168.178
1906,Aug,08-01-1906,68.096
1906,Sep,09-01-1906,141.961
1906,Oct,10-01-1906,0.002
1906,Nov,11-01-1906,0
1906,Dec,12-01-1906,23.455
1907,Jan,01-01-1907,4.772
1907,Feb,02-01-1907,37.154
1907,Mar,03-01-1907,1.614
1907,Apr,04-01-1907,20.9
1907,May,05-01-1907,8.071
1907,Jun,06-01-1907,8.538
1907,Jul,07-01-1907,77.733
1907,Aug,08-01-1907,268.136
1907,Sep,09-01-1907,0.861
1907,Oct,10-01-1907,0
1907,Nov,11-01-1907,0.026
1907,Dec,12-01-1907,0
1908,Jan,01-01-1908,17.175
1908,Feb,02-01-1908,0.939
1908,Mar,03-01-1908,0
1908,Apr,04-01-1908,0.889
1908,May,05-01-1908,6.898
1908,Jun,06-01-1908,22.631
1908,Jul,07-01-1908,504.468
1908,Aug,08-01-1908,342.453
1908,Sep,09-01-1908,219.931
1908,Oct,10-01-1908,1.595
1908,Nov,11-01-1908,3.198
1908,Dec,12-01-1908,0.442
1909,Jan,01-01-1909,17.674
1909,Feb,02-01-1909,1.996
1909,Mar,03-01-1909,0
1909,Apr,04-01-1909,29.013
1909,May,05-01-1909,14.885
1909,Jun,06-01-1909,62.686
1909,Jul,07-01-1909,373.926
1909,Aug,08-01-1909,61.886
1909,Sep,09-01-1909,202.57
1909,Oct,10-01-1909,0.1
1909,Nov,11-01-1909,0
1909,Dec,12-01-1909,10.887
1910,Jan,01-01-1910,4.919
1910,Feb,02-01-1910,2.194
1910,Mar,03-01-1910,0.215
1910,Apr,04-01-1910,9.458
1910,May,05-01-1910,0.902
1910,Jun,06-01-1910,90.94
1910,Jul,07-01-1910,121.637
1910,Aug,08-01-1910,162.275
1910,Sep,09-01-1910,53.647
1910,Oct,10-01-1910,7.33
1910,Nov,11-01-1910,0.09
1910,Dec,12-01-1910,0
1911,Jan,01-01-1911,8.625
1911,Feb,02-01-1911,0
1911,Mar,03-01-1911,15.571
1911,Apr,04-01-1911,0.003
1911,May,05-01-1911,0.175
1911,Jun,06-01-1911,39.389
1911,Jul,07-01-1911,19.869
1911,Aug,08-01-1911,28.311
1911,Sep,09-01-1911,163.107
1911,Oct,10-01-1911,2.157
1911,Nov,11-01-1911,41.162
1911,Dec,12-01-1911,2.84
1912,Jan,01-01-1912,6.207
1912,Feb,02-01-1912,1.996
1912,Mar,03-01-1912,0.485
1912,Apr,04-01-1912,3.842
1912,May,05-01-1912,2.789
1912,Jun,06-01-1912,53.345
1912,Jul,07-01-1912,214.961
1912,Aug,08-01-1912,230.568
1912,Sep,09-01-1912,96.616
1912,Oct,10-01-1912,15.452
1912,Nov,11-01-1912,27.641
1912,Dec,12-01-1912,1.009
1913,Jan,01-01-1913,0.094
1913,Feb,02-01-1913,12.931
1913,Mar,03-01-1913,2.289
1913,Apr,04-01-1913,0.278
1913,May,05-01-1913,21.351
1913,Jun,06-01-1913,65.325
1913,Jul,07-01-1913,87.521
1913,Aug,08-01-1913,53.093
1913,Sep,09-01-1913,46.049
1913,Oct,10-01-1913,0
1913,Nov,11-01-1913,0.013
1913,Dec,12-01-1913,3.619
1914,Jan,01-01-1914,0.009
1914,Feb,02-01-1914,6.023
1914,Mar,03-01-1914,0.213
1914,Apr,04-01-1914,8.076
1914,May,05-01-1914,11.607
1914,Jun,06-01-1914,89.887
1914,Jul,07-01-1914,210.248
1914,Aug,08-01-1914,115.921
1914,Sep,09-01-1914,109.37
1914,Oct,10-01-1914,4.902
1914,Nov,11-01-1914,22.164
1914,Dec,12-01-1914,0.085
1915,Jan,01-01-1915,7.799
1915,Feb,02-01-1915,12.018
1915,Mar,03-01-1915,26.756
1915,Apr,04-01-1915,4.801
1915,May,05-01-1915,2.207
1915,Jun,06-01-1915,30.999
1915,Jul,07-01-1915,90.14
1915,Aug,08-01-1915,60.16
1915,Sep,09-01-1915,29.891
1915,Oct,10-01-1915,34.906
1915,Nov,11-01-1915,0.003
1915,Dec,12-01-1915,0.084
1916,Jan,01-01-1916,0
1916,Feb,02-01-1916,5.242
1916,Mar,03-01-1916,0.213
1916,Apr,04-01-1916,0.854
1916,May,05-01-1916,22.794
1916,Jun,06-01-1916,46.147
1916,Jul,07-01-1916,154.82
1916,Aug,08-01-1916,317.491
1916,Sep,09-01-1916,125.163
1916,Oct,10-01-1916,8.869
1916,Nov,11-01-1916,0.313
1916,Dec,12-01-1916,0
1917,Jan,01-01-1917,1.883
1917,Feb,02-01-1917,15.62
1917,Mar,03-01-1917,1.169
1917,Apr,04-01-1917,20.851
1917,May,05-01-1917,65.279
1917,Jun,06-01-1917,176.889
1917,Jul,07-01-1917,331.399
1917,Aug,08-01-1917,365.781
1917,Sep,09-01-1917,215.402
1917,Oct,10-01-1917,28.761
1917,Nov,11-01-1917,0
1917,Dec,12-01-1917,21.443
1918,Jan,01-01-1918,3.426
1918,Feb,02-01-1918,0
1918,Mar,03-01-1918,3.528
1918,Apr,04-01-1918,0.538
1918,May,05-01-1918,3.651
1918,Jun,06-01-1918,16.103
1918,Jul,07-01-1918,29.02
1918,Aug,08-01-1918,85.154
1918,Sep,09-01-1918,14.871
1918,Oct,10-01-1918,0
1918,Nov,11-01-1918,0.439
1918,Dec,12-01-1918,0.006
1919,Jan,01-01-1919,15.819
1919,Feb,02-01-1919,0.127
1919,Mar,03-01-1919,0.662
1919,Apr,04-01-1919,30.544
1919,May,05-01-1919,7.961
1919,Jun,06-01-1919,10.819
1919,Jul,07-01-1919,233.003
1919,Aug,08-01-1919,188.213
1919,Sep,09-01-1919,41.001
1919,Oct,10-01-1919,0.83
1919,Nov,11-01-1919,11.086
1919,Dec,12-01-1919,3.16
1920,Jan,01-01-1920,5.138
1920,Feb,02-01-1920,8.469
1920,Mar,03-01-1920,3.714
1920,Apr,04-01-1920,0.046
1920,May,05-01-1920,33.556
1920,Jun,06-01-1920,147.032
1920,Jul,07-01-1920,210.588
1920,Aug,08-01-1920,41.715
1920,Sep,09-01-1920,19.589
1920,Oct,10-01-1920,0.016
1920,Nov,11-01-1920,0
1920,Dec,12-01-1920,0
1921,Jan,01-01-1921,6.429
1921,Feb,02-01-1921,0
1921,Mar,03-01-1921,0
1921,Apr,04-01-1921,0.56
1921,May,05-01-1921,0.175
1921,Jun,06-01-1921,18.956
1921,Jul,07-01-1921,114.689
1921,Aug,08-01-1921,98.957
1921,Sep,09-01-1921,122.939
1921,Oct,10-01-1921,1.046
1921,Nov,11-01-1921,0
1921,Dec,12-01-1921,0.002
1922,Jan,01-01-1922,3.377
1922,Feb,02-01-1922,0.874
1922,Mar,03-01-1922,0.014
1922,Apr,04-01-1922,0.707
1922,May,05-01-1922,1.405
1922,Jun,06-01-1922,45.57
1922,Jul,07-01-1922,196.39
1922,Aug,08-01-1922,86.316
1922,Sep,09-01-1922,143.908
1922,Oct,10-01-1922,0.57
1922,Nov,11-01-1922,0.59
1922,Dec,12-01-1922,13.436
1923,Jan,01-01-1923,2.601
1923,Feb,02-01-1923,14.982
1923,Mar,03-01-1923,1.395
1923,Apr,04-01-1923,0.119
1923,May,05-01-1923,6.095
1923,Jun,06-01-1923,2.491
1923,Jul,07-01-1923,310.829
1923,Aug,08-01-1923,202.047
1923,Sep,09-01-1923,60.558
1923,Oct,10-01-1923,2.403
1923,Nov,11-01-1923,0
1923,Dec,12-01-1923,2.826
1924,Jan,01-01-1924,4.705
1924,Feb,02-01-1924,6.378
1924,Mar,03-01-1924,0.471
1924,Apr,04-01-1924,0.002
1924,May,05-01-1924,12.068
1924,Jun,06-01-1924,24.664
1924,Jul,07-01-1924,183.425
1924,Aug,08-01-1924,128.994
1924,Sep,09-01-1924,169.123
1924,Oct,10-01-1924,5.669
1924,Nov,11-01-1924,1.266
1924,Dec,12-01-1924,29.759
1925,Jan,01-01-1925,0.354
1925,Feb,02-01-1925,0
1925,Mar,03-01-1925,0
1925,Apr,04-01-1925,0
1925,May,05-01-1925,13.857
1925,Jun,06-01-1925,117.165
1925,Jul,07-01-1925,298.676
1925,Aug,08-01-1925,67.067
1925,Sep,09-01-1925,7.08
1925,Oct,10-01-1925,0.208
1925,Nov,11-01-1925,31.804
1925,Dec,12-01-1925,0.002
1926,Jan,01-01-1926,20.532
1926,Feb,02-01-1926,1.43
1926,Mar,03-01-1926,19.567
1926,Apr,04-01-1926,7.982
1926,May,05-01-1926,20.854
1926,Jun,06-01-1926,13.922
1926,Jul,07-01-1926,203.075
1926,Aug,08-01-1926,239.316
1926,Sep,09-01-1926,196.169
1926,Oct,10-01-1926,0
1926,Nov,11-01-1926,1.13
1926,Dec,12-01-1926,0.01
1927,Jan,01-01-1927,0
1927,Feb,02-01-1927,13.24
1927,Mar,03-01-1927,2.779
1927,Apr,04-01-1927,1.123
1927,May,05-01-1927,9.824
1927,Jun,06-01-1927,15.41
1927,Jul,07-01-1927,238.871
1927,Aug,08-01-1927,332.251
1927,Sep,09-01-1927,58.512
1927,Oct,10-01-1927,10.664
